Clock,Away Play,Visiting Team Score,Team Logo,Home Team Score,Home Play,Score,Team Indicator,Play,Period
33:54:00,,,,,"Shot by Emory University Samantha Agnew, Save (by goalie) Jonelle Barron.",,,"Shot by Emory University Samantha Agnew, Save (by goalie) Jonelle Barron.",1
36:10:00,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,,,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",1
--,,,,,Foul on Emory University.,,,Foul on Emory University.,1
37:08:00,"Header Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,,,"Header Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",1
37:40:00,,,,,"Shot by Emory University Arielle Williamson, Wide.",,,"Shot by Emory University Arielle Williamson, Wide.",1
38:33:00,Centre College substitution: Rachael Boule for Kristin Dean.,,,,,,,Centre College substitution: Rachael Boule for Kristin Dean.,1
--,,,,,Foul on Emory University.,,,Foul on Emory University.,1
--,,,,,Foul on Emory University.,,,Foul on Emory University.,1
42:08:00,Centre College substitution: Mills Mullen for Alana Hughes.,,,,,,,Centre College substitution: Mills Mullen for Alana Hughes.,1
42:55:00,Centre College substitution: Ashley Brangers for Brooke Smithson.,,,,,,,Centre College substitution: Ashley Brangers for Brooke Smithson.,1
43:28:00,Offside against Centre College.,,,,,,,Offside against Centre College.,1
44:56:00,"Shot by Centre College Taylor Gebhart, Wide.",,,,,,,"Shot by Centre College Taylor Gebhart, Wide.",1
45:00:00,End of period [45:00].,,,,,,,End of period [45:00].,1
45:00:00,Start of 2nd period [45:00].,,,,,,,Start of 2nd period [45:00].,2
45:00:00,"For Centre College: #33 Averi Faulk, #22 Jessie Turner, #7  Alana Hughes, #20 Gracie Fitzgerald, #00 Jonelle Barron, #4  Sarah Sirkin, #13 Meghan Paynter, #18 Elizabeth Nelson, #24 Kristin Dean, #27 Cameron Zak, #21 Kennedy Cline.",,,,,,,"For Centre College: #33 Averi Faulk, #22 Jessie Turner, #7  Alana Hughes, #20 Gracie Fitzgerald, #00 Jonelle Barron, #4  Sarah Sirkin, #13 Meghan Paynter, #18 Elizabeth Nelson, #24 Kristin Dean, #27 Cameron Zak, #21 Kennedy Cline.",2
45:00:00,,,,,"For Emory University: #23 Peyton Robertson, #10 Caroline Kolski, #12 Lauren Mahoney, #25 Kylie Hall, #7  Jordan Fitzgerald, #18 Arielle Williamson, #3  LJ Kolodge, #26 Shivani Beall, #24 Samantha Hilsee, #1  Haley Pratt, #6  Melika Mohammadi.",,,"For Emory University: #23 Peyton Robertson, #10 Caroline Kolski, #12 Lauren Mahoney, #25 Kylie Hall, #7  Jordan Fitzgerald, #18 Arielle Williamson, #3  LJ Kolodge, #26 Shivani Beall, #24 Samantha Hilsee, #1  Haley Pratt, #6  Melika Mohammadi.",2
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
50:37:00,Centre College substitution: Taylor Gebhart for Sarah Sirkin.,,,,,,,Centre College substitution: Taylor Gebhart for Sarah Sirkin.,2
54:25:00,,,,,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron.",,,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron.",2
55:34:00,,,,,"Shot by Emory University Samantha Hilsee, High.",,,"Shot by Emory University Samantha Hilsee, High.",2
55:41:00,,,,,Emory University substitution: Aubrey Blanchard for Kylie Hall.,,,Emory University substitution: Aubrey Blanchard for Kylie Hall.,2
55:41:00,Centre College substitution: Rilee Britton for Elizabeth Nelson.,,,,,,,Centre College substitution: Rilee Britton for Elizabeth Nelson.,2
57:50:00,,,,,Offside against Emory University.,,,Offside against Emory University.,2
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
58:45:00,,,,,Emory University substitution: Lindsey Breskow for Arielle Williamson.,,,Emory University substitution: Lindsey Breskow for Arielle Williamson.,2
60:00:00,,,,,"Shot by Emory University Lindsey Breskow, High.",,,"Shot by Emory University Lindsey Breskow, High.",2
61:14:00,,,,,"Shot by Emory University Caroline Kolski, Wide.",,,"Shot by Emory University Caroline Kolski, Wide.",2
--,,,,,Foul on Emory University.,,,Foul on Emory University.,2
62:20:00,"Shot by Centre College Meghan Paynter, High.",,,,,,,"Shot by Centre College Meghan Paynter, High.",2
62:59:00,,,,,Emory University substitution: Natalie Klar for Caroline Kolski.,,,Emory University substitution: Natalie Klar for Caroline Kolski.,2
--,,,,,Foul on Emory University.,,,Foul on Emory University.,2
