Clock,Away - Description,Visiting Team Score,Home Team Score,Home - Description,Score,Play,Period,Goalkeeper,Corner Kick Team,Corner Kick Player,Shot Team,Shot Player,Shot Result,Substitution Team,Substitution In,Substitution Out,Goal Team,Goal Scorer,Goal Assister,First Goal
33:30:00,,,,Emory University substitution: Samantha Agnew for Samantha Hilsee.,,Emory University substitution: Samantha Agnew for Samantha Hilsee.,1,,,,,,,Emory University,Samantha Agnew,Samantha Hilsee,,,,False
33:54:00,,,,"Shot by Emory University Samantha Agnew, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Samantha Agnew, Save (by goalie) Jonelle Barron.",1,,,,Emory,University Samantha Agnew,Save (by goalie) Jonelle Barron.,,,,,,,False
36:10:00,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",1,,,,Centre,College Alana Hughes,Save (by goalie) Haley Pratt.,,,,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,1,,,,,,,,,,,,,False
37:08:00,"Header Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,"Header Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",1,,,,Centre,College Alana Hughes,Save (by goalie) Haley Pratt.,,,,,,,False
37:40:00,,,,"Shot by Emory University Arielle Williamson, Wide.",,"Shot by Emory University Arielle Williamson, Wide.",1,,,,Emory,University Arielle Williamson,Wide.,,,,,,,False
38:33:00,Centre College substitution: Rachael Boule for Kristin Dean.,,,,,Centre College substitution: Rachael Boule for Kristin Dean.,1,,,,,,,Centre College,Rachael Boule,Kristin Dean,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,1,,,,,,,,,,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,1,,,,,,,,,,,,,False
42:08:00,Centre College substitution: Mills Mullen for Alana Hughes.,,,,,Centre College substitution: Mills Mullen for Alana Hughes.,1,,,,,,,Centre College,Mills Mullen,Alana Hughes,,,,False
42:55:00,Centre College substitution: Ashley Brangers for Brooke Smithson.,,,,,Centre College substitution: Ashley Brangers for Brooke Smithson.,1,,,,,,,Centre College,Ashley Brangers,Brooke Smithson,,,,False
43:28:00,Offside against Centre College.,,,,,Offside against Centre College.,1,,,,,,,,,,,,,False
44:56:00,"Shot by Centre College Taylor Gebhart, Wide.",,,,,"Shot by Centre College Taylor Gebhart, Wide.",1,,,,Centre,College Taylor Gebhart,Wide.,,,,,,,False
45:00:00,End of period [45:00].,,,,,End of period [45:00].,1,,,,,,,,,,,,,False
45:00:00,Start of 2nd period [45:00].,,,,,Start of 2nd period [45:00].,2,,,,,,,,,,,,,False
45:00:00,"For Centre College: #33 Averi Faulk, #22 Jessie Turner, #7  Alana Hughes, #20 Gracie Fitzgerald, #00 Jonelle Barron, #4  Sarah Sirkin, #13 Meghan Paynter, #18 Elizabeth Nelson, #24 Kristin Dean, #27 Cameron Zak, #21 Kennedy Cline.",,,,,"For Centre College: #33 Averi Faulk, #22 Jessie Turner, #7  Alana Hughes, #20 Gracie Fitzgerald, #00 Jonelle Barron, #4  Sarah Sirkin, #13 Meghan Paynter, #18 Elizabeth Nelson, #24 Kristin Dean, #27 Cameron Zak, #21 Kennedy Cline.",2,,,,,,,,,,,,,False
